name,kind,hidden,layers,dropout,lr,batch_size,lookback,best_epoch,epochs_run,parameters,seconds,MAE_Wh,RMSE_Wh,R2,MAPE_pct
LSTM_initial,LSTM,32,1,0.1,0.001,128,18,15,20,8097,8.21918041599929,26.67899513244629,60.06415637349263,0.6238902807235718,24.69871711730957
GRU_initial,GRU,32,1,0.1,0.001,128,18,11,16,6209,5.495184125000378,27.035846710205078,61.374152711819576,0.6073055267333984,24.601083755493164
LSTM_tuned,LSTM,64,1,0.2,0.0005,64,36,13,18,24353,21.403265249999095,27.028057098388672,61.22080976945768,0.6092653274536133,24.172178268432617
GRU_tuned,GRU,64,2,0.2,0.0005,128,36,9,14,43489,22.926656957999512,26.888368606567383,61.44360544752094,0.6064162254333496,23.84674835205078
